event_name,start_date,end_date,start_time,end_time,description,location,access_groups,rsvp,comments,attendance_tracking,duty_roster,ticketing,reference_id
U10 Boys Gold - Grading 2,2022-05-14,2022-05-14,08:30:00,09:10:00,"RSVP is YES by default - if you cannot make it, please let your Team Manager know as soon as possible.
Opponent: STARS U10 Boys EW
Venue: St. John's Greek Orthodox College Court 1
Address: 21 Railway Place, West Preston  (Entrance to gym & car park (Blanch St, Preston) is via Bell Street.)

- Please ensure you arrive early and ready.
- Remember that shorts should have no pockets, players should not wear bracelets/watch as it is a risk of injury.
- 45 min schedule with 18 min halves.
- Each team needs to provide a scorer. TMs, please consider a roster.
- Players should not bring balls into the venue - game balls provided by Magic in coach's equipment bag.

NOTE: CBA would like to let us know they commenced a new referee beginners school last Sunday.
All beginners refs will be wearing their green shirts on the court.
Please remember to support, and respect them through a POSITIVE sideline behaviour.

You can check games in PlayHQ here: https://bit.ly/bmbc-w22
","21 Railway Place, West Preston",U10 Boys Gold,1,1,0,1,0,
U10 Boys Purple - Grading 2,2022-05-14,2022-05-14,09:15:00,09:55:00,"RSVP is YES by default - if you cannot make it, please let your Team Manager know as soon as possible.
Opponent: Newlands U10 Boys MINIONS
Venue: Coburg Basketball Stadium Court 1
Address: 25 Outlook Road, Coburg North 

- Please ensure you arrive early and ready.
- Remember that shorts should have no pockets, players should not wear bracelets/watch as it is a risk of injury.
- 45 min schedule with 18 min halves.
- Each team needs to provide a scorer. TMs, please consider a roster.
- Players should not bring balls into the venue - game balls provided by Magic in coach's equipment bag.

NOTE: CBA would like to let us know they commenced a new referee beginners school last Sunday.
All beginners refs will be wearing their green shirts on the court.
Please remember to support, and respect them through a POSITIVE sideline behaviour.

You can check games in PlayHQ here: https://bit.ly/bmbc-w22
","25 Outlook Road, Coburg North",U10 Boys Purple,1,1,0,1,0,
U10 Girls Purple - Grading 2,2022-05-14,2022-05-14,09:15:00,09:55:00,"RSVP is YES by default - if you cannot make it, please let your Team Manager know as soon as possible.
Opponent: Melbourne Warriors u/10g
Venue: Coburg Basketball Stadium Court 4
Address: 25 Outlook Road, Coburg North 

- Please ensure you arrive early and ready.
- Remember that shorts should have no pockets, players should not wear bracelets/watch as it is a risk of injury.
- 45 min schedule with 18 min halves.
- Each team needs to provide a scorer. TMs, please consider a roster.
- Players should not bring balls into the venue - game balls provided by Magic in coach's equipment bag.

NOTE: CBA would like to let us know they commenced a new referee beginners school last Sunday.
All beginners refs will be wearing their green shirts on the court.
Please remember to support, and respect them through a POSITIVE sideline behaviour.

You can check games in PlayHQ here: https://bit.ly/bmbc-w22
","25 Outlook Road, Coburg North",U10 Girls Purple,1,1,0,1,0,
U10 Girls Gold - Grading 2,2022-05-14,2022-05-14,08:30:00,09:10:00,"RSVP is YES by default - if you cannot make it, please let your Team Manager know as soon as possible.
Opponent: Panthers U10 Girls Green
Venue: Mercy College Court 1
Address: 760 Sydney Road, Coburg 

- Please ensure you arrive early and ready.
- Remember that shorts should have no pockets, players should not wear bracelets/watch as it is a risk of injury.
- 45 min schedule with 18 min halves.
- Each team needs to provide a scorer. TMs, please consider a roster.
- Players should not bring balls into the venue - game balls provided by Magic in coach's equipment bag.

NOTE: CBA would like to let us know they commenced a new referee beginners school last Sunday.
All beginners refs will be wearing their green shirts on the court.
Please remember to support, and respect them through a POSITIVE sideline behaviour.

You can check games in PlayHQ here: https://bit.ly/bmbc-w22
","760 Sydney Road, Coburg",U10 Girls Gold,1,1,0,1,0,
U12 Boys Purple - Grading 2,2022-05-14,2022-05-14,09:15:00,09:55:00,"RSVP is YES by default - if you cannot make it, please let your Team Manager know as soon as possible.
Opponent: Warriors U12 Boys Red
Venue: Northcote High School Court 1
Address: 19–25 St Georges Road, Northcote 

- Please ensure you arrive early and ready.
- Remember that shorts should have no pockets, players should not wear bracelets/watch as it is a risk of injury.
- 45 min schedule with 18 min halves.
- Each team needs to provide a scorer. TMs, please consider a roster.
- Players should not bring balls into the venue - game balls provided by Magic in coach's equipment bag.

NOTE: CBA would like to let us know they commenced a new referee beginners school last Sunday.
All beginners refs will be wearing their green shirts on the court.
Please remember to support, and respect them through a POSITIVE sideline behaviour.

You can check games in PlayHQ here: https://bit.ly/bmbc-w22
","19–25 St Georges Road, Northcote",U12 Boys Purple,1,1,0,1,0,
U12 Boys Gold - Grading 2,2022-05-14,2022-05-14,10:00:00,10:40:00,"RSVP is YES by default - if you cannot make it, please let your Team Manager know as soon as possible.
Opponent: Newlands U12 Boys LAKERS
Venue: Dallas Brooks Court 2
Address: 26-36 King Street, Dallas 

- Please ensure you arrive early and ready.
- Remember that shorts should have no pockets, players should not wear bracelets/watch as it is a risk of injury.
- 45 min schedule with 18 min halves.
- Each team needs to provide a scorer. TMs, please consider a roster.
- Players should not bring balls into the venue - game balls provided by Magic in coach's equipment bag.

NOTE: CBA would like to let us know they commenced a new referee beginners school last Sunday.
All beginners refs will be wearing their green shirts on the court.
Please remember to support, and respect them through a POSITIVE sideline behaviour.

You can check games in PlayHQ here: https://bit.ly/bmbc-w22
","26-36 King Street, Dallas",U12 Boys Gold,1,1,0,1,0,
U12 Boys Black - Grading 2,2022-05-14,2022-05-14,10:00:00,10:40:00,"RSVP is YES by default - if you cannot make it, please let your Team Manager know as soon as possible.
Opponent: Panthers U12 Boys White
Venue: Mercy College Court 1
Address: 760 Sydney Road, Coburg 

- Please ensure you arrive early and ready.
- Remember that shorts should have no pockets, players should not wear bracelets/watch as it is a risk of injury.
- 45 min schedule with 18 min halves.
- Each team needs to provide a scorer. TMs, please consider a roster.
- Players should not bring balls into the venue - game balls provided by Magic in coach's equipment bag.

NOTE: CBA would like to let us know they commenced a new referee beginners school last Sunday.
All beginners refs will be wearing their green shirts on the court.
Please remember to support, and respect them through a POSITIVE sideline behaviour.

You can check games in PlayHQ here: https://bit.ly/bmbc-w22
","760 Sydney Road, Coburg",U12 Boys Black,1,1,0,1,0,
U12 Boys Diamond - Grading 2,2022-05-14,2022-05-14,10:00:00,10:40:00,"RSVP is YES by default - if you cannot make it, please let your Team Manager know as soon as possible.
Opponent: Newlands U12 Boys COUGARS
Venue: Coburg Basketball Stadium Court 4
Address: 25 Outlook Road, Coburg North 

- Please ensure you arrive early and ready.
- Remember that shorts should have no pockets, players should not wear bracelets/watch as it is a risk of injury.
- 45 min schedule with 18 min halves.
- Each team needs to provide a scorer. TMs, please consider a roster.
- Players should not bring balls into the venue - game balls provided by Magic in coach's equipment bag.

NOTE: CBA would like to let us know they commenced a new referee beginners school last Sunday.
All beginners refs will be wearing their green shirts on the court.
Please remember to support, and respect them through a POSITIVE sideline behaviour.

You can check games in PlayHQ here: https://bit.ly/bmbc-w22
","25 Outlook Road, Coburg North",U12 Boys Diamond,1,1,0,1,0,
U12 Girls Purple - Grading 2,2022-05-14,2022-05-14,10:45:00,11:25:00,"RSVP is YES by default - if you cannot make it, please let your Team Manager know as soon as possible.
Opponent: Newlands U12 Girls HOOPS
Venue: Coburg Basketball Stadium Court 3
Address: 25 Outlook Road, Coburg North 

- Please ensure you arrive early and ready.
- Remember that shorts should have no pockets, players should not wear bracelets/watch as it is a risk of injury.
- 45 min schedule with 18 min halves.
- Each team needs to provide a scorer. TMs, please consider a roster.
- Players should not bring balls into the venue - game balls provided by Magic in coach's equipment bag.

NOTE: CBA would like to let us know they commenced a new referee beginners school last Sunday.
All beginners refs will be wearing their green shirts on the court.
Please remember to support, and respect them through a POSITIVE sideline behaviour.

You can check games in PlayHQ here: https://bit.ly/bmbc-w22
","25 Outlook Road, Coburg North",U12 Girls Purple,1,1,0,1,0,
U12 Girls Black - Grading 2,2022-05-14,2022-05-14,10:45:00,11:25:00,"RSVP is YES by default - if you cannot make it, please let your Team Manager know as soon as possible.
Opponent: Thunder U12 Girls Blue
Venue: Dallas Brooks Court 1
Address: 26-36 King Street, Dallas 

- Please ensure you arrive early and ready.
- Remember that shorts should have no pockets, players should not wear bracelets/watch as it is a risk of injury.
- 45 min schedule with 18 min halves.
- Each team needs to provide a scorer. TMs, please consider a roster.
- Players should not bring balls into the venue - game balls provided by Magic in coach's equipment bag.

NOTE: CBA would like to let us know they commenced a new referee beginners school last Sunday.
All beginners refs will be wearing their green shirts on the court.
Please remember to support, and respect them through a POSITIVE sideline behaviour.

You can check games in PlayHQ here: https://bit.ly/bmbc-w22
","26-36 King Street, Dallas",U12 Girls Black,1,1,0,1,0,
