game date,grade,round,team a,team a score,team a result,team b,team b score,team b result,bye,game status,venue,playing surface,time,game code,game alias,organisation,competition,competition type,season,game id
30/04/2022,Saturday U10 Boys Division 3,Round 1,Rebels U10 Boys Blue,10,DREW,Magic U10 Boys Gold,10,DREW,,FINAL,Coburg Senior High School,Court 1,09:15:00,18e7c4,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,18e7c402-5162-4b58-84b4-c4b445c86f5d
30/04/2022,Saturday U10 Boys Division 3,Round 1,Rebels U10 Boys Red,10,DREW,Magic U10 Boys Purple,10,DREW,,FINAL,Northcote High School,Court 1,08:30:00,38309f,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,38309f7e-8e12-4874-ae43-7b2e9f924ad9
30/04/2022,Saturday U10 Girls Division 2,Round 1,Magic U10 Girls Purple,10,DREW,Magic U10 Girls Gold,10,DREW,,FINAL,Coburg Basketball Stadium,Court 4,09:15:00,b8a62f,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,b8a62f18-eb73-491f-8e99-7da65232f4ae
30/04/2022,Saturday U12 Boys Division 1,Round 1,Magic U12 Boys Purple,26,WON,STARS U12 Boys SR,16,LOST,,FINAL,Dallas Brooks Community Primary School,Court 1,09:15:00,c8f38d,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,c8f38d3d-4a5b-4964-8ea1-a3d685419948
30/04/2022,Saturday U12 Boys Division 2,Round 1,Magic U12 Boys Gold,2,LOST,Warriors U12 Boys Black,52,WON,,FINAL,Coburg Basketball Stadium,Court 2,10:00:00,7f60d0,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,7f60d089-0a4b-429a-be01-d17c3f707e2c
30/04/2022,Saturday U12 Boys Division 3,Round 1,,,,,,,Magic U12 Boys Black,,,,,,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,
30/04/2022,Saturday U12 Boys Division 4,Round 1,Magic U12 Boys Diamond,6,LOST,Warriors U12 Boys White,33,WON,,FINAL,St John's College (Preston),Court 1,10:00:00,af4240,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,af4240cc-974a-4436-9663-073122a3688a
30/04/2022,Saturday U12 Girls Division 1/2,Round 1,Magic U12 Girls Purple,60,WON,STARS U12 Girls MJ,0,LOST,,FINAL,Coburg Basketball Stadium,Court 1,10:45:00,349fc9,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,349fc964-79d8-4619-8dd5-f8f05cda897c
30/04/2022,Saturday U12 Girls Division 3/4,Round 1,Magic U12 Girls Black,20,WON,Newlands U12 Girls CLIPPERS,0,LOST,,FINAL,,,,7bfab7,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,7bfab7d9-21fc-4bc3-846a-a670ed48675f
30/04/2022,Saturday U12 Girls Division 3/4,Round 1,Thunder U12 Girls Blue,6,WON,Magic U12 Girls Gold,4,LOST,,FINAL,Dallas Brooks Community Primary School,Court 1,10:45:00,1d0476,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,1d0476d5-2a4b-44e0-92fa-8b2af30fdc21
30/04/2022,Saturday U14 Boys Division 3,Round 1,Magic U14 Boys Black,60,WON,Warriors U14 Boys Black,29,LOST,,FINAL,Northcote High School,Court 1,10:45:00,208f9f,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,208f9ff0-7c7c-43ba-8c11-b6ffa81967b5
30/04/2022,Saturday U14 Boys Division 5,Round 1,Magic U14 Boys Gold,11,WON,Magic U14 Boys Purple,6,LOST,,FINAL,Mercy College,Court 1,12:15:00,cd6d91,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,cd6d91bb-e4dd-45b9-916a-82287a99db97
30/04/2022,Saturday U14 Girls Division 3,Round 1,Magic U14 Girls Gold,15,LOST,Magic U14 Girls Purple,19,WON,,FINAL,Oak Park Stadium,Court 1,12:15:00,8f048d,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,8f048db1-c773-4a71-b3aa-53b4b63785f5
30/04/2022,Saturday U16 Boys Division 2,Round 1,Newlands U16 Boys CITY,28,WON,Magic U16 Boys Gold,24,LOST,,FINAL,Pascoe Vale Girls College,Court 1,13:00:00,196960,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,1969607c-3a8b-4458-bece-e66683236830
30/04/2022,Saturday U16 Boys Division 3,Round 1,St Fidelis U16 Boys White,34,WON,Magic U16 Boys Purple,20,LOST,,FINAL,Coburg Basketball Stadium,Court 3,13:00:00,c029f5,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,c029f5ce-b771-4470-a488-634c63c5f579
30/04/2022,Saturday U16 Girls Division 1/2,Round 1,Magic U16 Girls Gold,29,WON,STARS U16 Girls JC,12,LOST,,FINAL,Coburg Senior High School,Court 1,13:45:00,4c09fd,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,4c09fd51-6789-4fcb-8c87-1e994b0bff30
30/04/2022,Saturday U8 Mixed Division 1/2,Round 1,St Fidelis U8 Mixed Green,10,DREW,Magic U8 Mixed Purple,10,DREW,,FINAL,Coburg Basketball Stadium,Court 2,08:30:00,f14bc0,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,f14bc0bb-0a81-4d09-a7dc-8c47baf5fa85
07/05/2022,Saturday U10 Boys Division 3,Round 2,Magic U10 Boys Gold,,,Panthers U10 Boys Black,,,,UPCOMING,Northcote High School,Court 1,08:30:00,b2a985,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,b2a98523-185f-476f-886a-a5df8b4fcbfc
07/05/2022,Saturday U10 Boys Division 3,Round 2,Magic U10 Boys Purple,,,Jets U10 Boys Yellow,,,,UPCOMING,Oak Park Stadium,Court 1,08:30:00,3c9784,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,3c9784a0-86a9-42f4-9c7f-f3de203e9ad4
07/05/2022,Saturday U10 Girls Division 2,Round 2,Melbourne Warriors u/10g,,,Magic U10 Girls Purple,,,,UPCOMING,Coburg Basketball Stadium,Court 4,09:15:00,d8e832,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,d8e832d7-0fb3-4aac-9873-d727de3420ab
07/05/2022,Saturday U10 Girls Division 2,Round 2,Jets U10 Girls Yellow,,,Magic U10 Girls Gold,,,,UPCOMING,Coburg Basketball Stadium,Court 3,09:15:00,bf2015,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,bf20152d-2afb-4870-b693-ced52895061c
07/05/2022,Saturday U12 Boys Division 1,Round 2,Jets U12 Boys Yellow,,,Magic U12 Boys Purple,,,,UPCOMING,Northcote High School,Court 1,09:15:00,92088e,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,92088e49-d796-4130-bd0b-3356b76e3919
07/05/2022,Saturday U12 Boys Division 2,Round 2,Panthers U12 Boys Green,,,Magic U12 Boys Gold,,,,UPCOMING,Dallas Brooks Community Primary School,Court 2,10:00:00,c00e72,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,c00e7238-cf11-4921-b6f5-62b088f3ad00
07/05/2022,Saturday U12 Boys Division 3,Round 2,Magic U12 Boys Black,,,St Fidelis U12 Boys Red,,,,UPCOMING,Northcote High School,Court 1,10:00:00,d32e5c,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,d32e5c65-8c5c-4d98-818d-561165323551
07/05/2022,Saturday U12 Boys Division 4,Round 2,Jets U12 Boys Blue,,,Magic U12 Boys Diamond,,,,UPCOMING,Coburg Basketball Stadium,Court 3,10:00:00,15ba76,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,15ba7674-41a1-434a-8c7f-84d78dba7611
07/05/2022,Saturday U12 Girls Division 1/2,Round 2,Newlands U12 Girls COYOTES,,,Magic U12 Girls Purple,,,,UPCOMING,Dallas Brooks Community Primary School,Court 1,10:45:00,41e09a,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,41e09a94-8fcd-45a0-8718-7b0768c6fbeb
07/05/2022,Saturday U12 Girls Division 3/4,Round 2,STARS U12 Girls U12 EW,,,Magic U12 Girls Gold,,,,UPCOMING,St John's College (Preston),Court 1,10:45:00,02a368,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,02a368e2-e34a-4456-a03b-f302fa8d4ea4
07/05/2022,Saturday U12 Girls Division 3/4,Round 2,Magic U12 Girls Black,,,Rebels U12 Girls White,,,,UPCOMING,Pascoe Vale Girls College,Court 1,10:45:00,6ca7a7,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,6ca7a7ee-85bc-46fb-8305-9c851106ba5d
07/05/2022,Saturday U14 Boys Division 3,Round 2,,,,,,,Magic U14 Boys Black,,,,,,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,
07/05/2022,Saturday U14 Boys Division 5,Round 2,Newlands U14 Boys DRAGONS,,,Magic U14 Boys Gold,,,,UPCOMING,Northcote High School,Court 1,12:15:00,ab2031,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,ab20314a-33b3-4eef-9a55-ee9517a78173
07/05/2022,Saturday U14 Boys Division 5,Round 2,Newlands U14 Boys REDBACKS,,,Magic U14 Boys Purple,,,,UPCOMING,Dallas Brooks Community Primary School,Court 2,12:15:00,133d9d,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,133d9da9-ed25-4988-ad45-dc971346aede
07/05/2022,Saturday U14 Girls Division 3,Round 2,St Fidelis U14 Girls Silver,,,Magic U14 Girls Gold,,,,UPCOMING,Northcote High School,Court 1,13:00:00,a5b08a,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,a5b08a19-b7c5-4efb-9b44-c515c4345e07
07/05/2022,Saturday U14 Girls Division 3,Round 2,Magic U14 Girls Purple,,,STARS U14 Girls Yellow,,,,UPCOMING,Coburg Basketball Stadium,Court 4,13:00:00,dd90bc,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,dd90bcb3-5b02-45f4-b899-4e23ed5dd66b
07/05/2022,Saturday U16 Boys Division 2,Round 2,Magic U16 Boys Gold,,,Piranhas U16 Boys Red,,,,UPCOMING,Dallas Brooks Community Primary School,Court 1,13:00:00,cfe0bf,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,cfe0bf72-4215-465c-a941-c7a14ca024f3
07/05/2022,Saturday U16 Boys Division 3,Round 2,St Fidelis U16 Boys Purple,,,Magic U16 Boys Purple,,,,UPCOMING,Pascoe Vale Girls College,Court 1,13:00:00,d46bce,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,d46bcea7-04f7-4595-b525-9ec6f141d76a
07/05/2022,Saturday U16 Girls Division 1/2,Round 2,,,,,,,Magic U16 Girls Gold,,,,,,,Coburg Basketball Association,Junior Domestic,DOMESTIC,Winter 2022,
